"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
"Lithuania"	440	2.71	2.66	2.4	2.27	2.32	2.12	2.03	2.09	1.812	1.471	1.277	1.343	1.43	1.48	1.53	1.58	1.63	1.68	1.73	1.78
"Norway"	578	2.602	2.837	2.898	2.719	2.248	1.81	1.687	1.8	1.886	1.853	1.801	1.894	1.855	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Sweden"	752	2.213	2.234	2.324	2.16	1.891	1.661	1.646	1.909	2.006	1.555	1.67	1.865	1.853	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"United Kingdom"	826	2.18	2.49	2.81	2.52	2.04	1.72	1.8	1.81	1.78	1.7	1.695	1.844	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Southern Europe"	925	2.6191	2.5899	2.6802	2.6877	2.5539	2.2625	1.8336	1.551	1.4062	1.325	1.3518	1.4358	1.5005	1.5448	1.5811	1.6229	1.6752	1.7306	1.7693	1.7966
"Albania"	8	5.597	5.978	5.763	5.113	4.658	4.202	3.403	3.076	2.78	2.483	1.99	1.873	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Bosnia and Herzegovina"	70	4.82	4.28	3.81	3.17	2.63	2.24	1.99	1.9	1.53	1.535	1.276	1.214	1.239	1.289	1.339	1.389	1.439	1.489	1.539	1.589
"Croatia"	191	2.76	2.42	2.27	2.09	1.96	2.02	1.96	1.84	1.52	1.537	1.362	1.424	1.491	1.541	1.591	1.641	1.691	1.741	1.791	1.838
"Greece"	300	2.29	2.27	2.2	2.38	2.32	2.32	1.96	1.53	1.37	1.296	1.281	1.376	1.405	1.455	1.505	1.555	1.605	1.655	1.705	1.755
"Italy"	380	2.355	2.29	2.466	2.515	2.351	1.941	1.536	1.342	1.281	1.215	1.259	1.375	1.41	1.435	1.485	1.535	1.585	1.635	1.685	1.735
"Malta"	470	4.136	3.735	3.098	2.165	2.074	2.019	1.963	2.019	2.021	1.848	1.447	1.26	1.285	1.335	1.385	1.435	1.485	1.535	1.585	1.635
"Montenegro"	499	3.22	2.75	2.57	2.43	2.36	2.37	2.17	1.965	1.808	1.838	1.781	1.636	1.665	1.715	1.765	1.815	1.849	1.85	1.85	1.85
"Portugal"	620	3.039	3.03	3.074	2.849	2.748	2.41	2.009	1.62	1.486	1.455	1.435	1.381	1.39	1.44	1.49	1.54	1.59	1.64	1.69	1.74
"Serbia"	688	3.22	2.75	2.57	2.43	2.36	2.37	2.32	2.23	1.96	1.744	1.723	1.618	1.625	1.675	1.725	1.775	1.825	1.85	1.85	1.85
"Slovenia"	705	2.8	2.39	2.32	2.32	2.19	2.2	1.875	1.66	1.36	1.25	1.226	1.357	1.467	1.517	1.567	1.617	1.667	1.717	1.767	1.817
"Spain"	724	2.57	2.75	2.89	2.92	2.86	2.57	1.89	1.456	1.27	1.182	1.293	1.426	1.558	1.649	1.699	1.749	1.799	1.843	1.85	1.85
"TFYR Macedonia"	807	5.32	4.53	3.785	3.385	2.81	2.549	2.328	2.178	2.056	1.801	1.562	1.44	1.465	1.515	1.565	1.615	1.665	1.715	1.765	1.815
"Western Europe"	926	2.4103	2.4923	2.6689	2.4635	1.9757	1.666	1.6346	1.586	1.4962	1.5141	1.5797	1.588	1.5869	1.6187	1.6526	1.6845	1.7144	1.7413	1.7652	1.7878
"Austria"	40	2.08	2.497	2.783	2.572	2.04	1.654	1.594	1.444	1.465	1.371	1.39	1.383	1.405	1.455	1.505	1.555	1.605	1.655	1.705	1.755
"Belgium"	56	2.343	2.496	2.644	2.392	2.015	1.705	1.595	1.559	1.613	1.604	1.638	1.771	1.804	1.844	1.85	1.85	1.85	1.85	1.85	1.85
"France"	250	2.726	2.712	2.85	2.607	2.31	1.862	1.866	1.805	1.713	1.7624	1.8833	1.8916	1.8511	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Germany"	276	2.16	2.3	2.49	2.32	1.64	1.52	1.46	1.43	1.31	1.34	1.348	1.324	1.339	1.389	1.439	1.489	1.539	1.589	1.639	1.689
"Luxembourg"	442	1.98	2.23	2.395	2.192	1.722	1.486	1.465	1.469	1.663	1.7213	1.654	1.66	1.694	1.744	1.794	1.84	1.85	1.85	1.85	1.85
"Netherlands"	528	3.062	3.095	3.168	2.797	2.059	1.596	1.515	1.555	1.583	1.6	1.726	1.737	1.77	1.809	1.847	1.85	1.85	1.85	1.85	1.85
"Switzerland"	756	2.28	2.34	2.51	2.27	1.82	1.53	1.53	1.53	1.54	1.47	1.415	1.452	1.485	1.535	1.585	1.635	1.685	1.735	1.785	1.834
"Latin America and the Caribbean"	904	5.8501	5.9022	5.9451	5.5244	5.0148	4.4648	3.9266	3.4153	3.0216	2.7307	2.4974	2.2636	2.0934	1.976	1.8953	1.8452	1.8214	1.8076	1.8161	1.8218
"Caribbean"	915	5.2087	5.1455	5.4389	4.9854	4.3592	3.6211	3.4031	3.122	2.8343	2.6343	2.506	2.3738	2.2947	2.2211	2.1523	2.0858	2.0266	1.9756	1.9351	1.9007
"Aruba"	533	5.65	5.15	4.399	3.301	2.651	2.45	2.358	2.3	2.174	2	1.816	1.738	1.748	1.798	1.842	1.85	1.85	1.85	1.85	1.85
"Bahamas"	44	4.053	4.305	4.503	3.794	3.444	3.221	3.16	2.62	2.6	2.4	2.111	2.022	1.949	1.883	1.85	1.85	1.85	1.85	1.85	1.85
"Barbados"	52	4.67	4.67	4.26	3.45	2.74	2.19	1.92	1.75	1.6	1.5	1.5	1.525	1.575	1.625	1.675	1.725	1.775	1.825	1.85	1.85
"Cuba"	192	4.15	3.6995	4.6805	4.3	3.6	2.15	1.8495	1.8495	1.6505	1.6095	1.63	1.4995	1.5395	1.5705	1.5995	1.6195	1.6395	1.6595	1.6705	1.68
"Dominican Republic"	214	7.6	7.641	7.351	6.65	5.68	4.76	4.15	3.65	3.31	2.98	2.83	2.67	2.479	2.323	2.197	2.096	2.018	1.955	1.907	1.87
"Grenada"	308	5.8	6.7	6.4	4.8	4.6	4.3	4.23	4.14	3.46	2.814	2.429	2.302	2.195	2.102	2.021	1.949	1.884	1.85	1.85	1.85
"Guadeloupe"	312	5.61	5.61	5.61	5.22	4.49	3.06	2.55	2.45	2.097	2.1	2.059	2.114	2.031	1.9571	1.8906	1.8509	1.85	1.85	1.85	1.85
"Haiti"	332	6.3	6.3	6.3	6	5.601	5.8	6.21	5.7	5.15	4.619	4	3.545	3.186	2.908	2.691	2.517	2.378	2.258	2.157	2.069
"Jamaica"	388	4.22	5.08	5.64	5.78	5	4	3.55	3.1	2.84	2.67	2.5283	2.4	2.278	2.174	2.084	2.005	1.934	1.872	1.85	1.85
"Martinique"	474	5.71	5.71	5.45	5	4.08	2.65	2.14	2.14	1.962	1.9	1.9771	1.9108	1.8574	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Netherlands Antilles"	530	5.65	5.15	4.399	3.301	2.651	2.45	2.358	2.3	2.28	2.121	2.091	1.979	1.91	1.857	1.85	1.85	1.85	1.85	1.85	1.85
"Puerto Rico"	630	4.97	4.82	4.37	3.41	2.99	2.76	2.46	2.26	2.18	2.02	1.8382	1.827	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Saint Lucia"	662	6	6.938	6.794	6.479	5.691	5.2	4.2	3.65	3.15	2.6	2.1	2.048	1.903	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"St. Vincent and the Grenadines"	670	7.33	7.33	7.02	6.41	5.54	4.42	3.64	3.1	2.85	2.55	2.237	2.132	2.047	1.972	1.905	1.855	1.85	1.85	1.85	1.85
"Trinidad and Tobago"	780	5.3	5.3	4.99	3.79	3.45	3.4	3.22	2.8	2.1	1.729	1.61	1.635	1.685	1.735	1.785	1.834	1.85	1.85	1.85	1.85
"United States Virgin Islands"	850	5.57	5.57	5.5019	5.3656	4.9772	4.3365	3.6959	3.0854	3.0915	2.5	2.23	2.146	2.06	1.983	1.915	1.859	1.85	1.85	1.85	1.85
"Central America"	916	6.7281	6.8121	6.7606	6.6775	6.3824	5.3577	4.503	3.9047	3.4739	2.9645	2.6605	2.452	2.2734	2.1161	2.0407	1.9926	1.9466	1.9033	1.8698	1.8466
"Belize"	84	6.65	6.55	6.45	6.35	6.25	6.2	5.4	4.7	4.347	3.85	3.35	2.935	2.647	2.409	2.209	2.038	1.892	1.85	1.85	1.85
"Costa Rica"	188	6.724	7.114	7.225	5.801	4.346	3.776	3.527	3.374	2.945	2.584	2.282	1.96	1.939	1.852	1.85	1.85	1.85	1.85	1.85	1.85
"El Salvador"	222	6.298	6.598	6.759	6.428	5.949	5.459	4.799	4.199	3.728	3.298	2.599	2.349	2.221	2.13	2.112	2.029	1.955	1.891	1.851	1.851
"Guatemala"	320	7	6.6	6.5	6.3	6.2	6.201	6.1	5.701	5.45	5.001	4.6	4.152	3.71	3.293	2.923	2.606	2.345	2.136	1.974	1.85
"Honduras"	340	7.497	7.497	7.418	7.421	7.05	6.6	5.9995	5.37	4.916	4.3005	3.723	3.308	2.9485	2.6575	2.4185	2.2175	2.0445	1.8975	1.8495	1.8495
"Mexico"	484	6.7	6.8	6.7495	6.7495	6.5	5.2505	4.25	3.6295	3.1905	2.6705	2.4005	2.211	2.04	1.893	1.8505	1.8505	1.8505	1.8505	1.8505	1.8505
"Nicaragua"	558	7.2	7.5	7.1	6.95	6.79	6.35	5.85	5	4.5	3.6	3	2.755	2.547	2.373	2.231	2.115	2.024	1.952	1.895	1.85
"Panama"	591	5.68	5.89	5.915	5.62	4.935	4.0545	3.515	3.201	2.87	2.79	2.7	2.5605	2.4145	2.291	2.1865	2.094	2.013	1.9415	1.8765	1.8505
"South America"	931	5.6595	5.7101	5.7416	5.2088	4.636	4.2595	3.7862	3.2752	2.8771	2.6508	2.431	2.178	2.0029	1.8957	1.8105	1.7611	1.7497	1.7514	1.7821	1.8037
"Argentina"	32	3.154	3.1265	3.0895	3.049	3.1455	3.44	3.15	3.053	2.9	2.63	2.35	2.254	2.163	2.0775	1.997	1.921	1.85	1.85	1.85	1.85
"Bolivia"	68	6.75	6.75	6.63	6.56	6.5	5.8	5.2995	5	4.8	4.324	3.9585	3.5	3.091	2.7465	2.4715	2.2595	2.0995	1.9795	1.9	1.85
"Brazil"	76	6.1505	6.1505	6.1505	5.38	4.7175	4.305	3.8	3.1	2.6	2.45	2.2505	1.9	1.7	1.6	1.5205	1.5005	1.5495	1.5995	1.6995	1.7505
"Chile"	152	4.95	5.486	5.4385	4.4405	3.63	2.803	2.671	2.65	2.55	2.21	2	1.944	1.8945	1.8495	1.8495	1.8495	1.8495	1.8495	1.8495	1.8495
"Colombia"	170	6.76	6.76	6.76	6.181	5.0005	4.34	3.6845	3.24	3	2.7525	2.55	2.45	2.3015	2.1945	2.102	2.0205	1.9485	1.884	1.85	1.8495
"Ecuador"	218	6.7	6.7	6.7	6.5	6.001	5.401	4.701	4	3.401	3.1	2.818	2.578	2.382	2.225	2.1	2.015	1.947	1.893	1.85	1.85
"French Guiana"	254	5	4.92	5.02	5	4.18	3.3	3.58	3.73	4.05	3.9265	3.6758	3.272	2.969	2.74	2.559	2.412	2.289	2.184	2.093	2.012
"Guyana"	328	6.68	6.77	6.15	6.11	4.9	3.94	3.26	2.7	2.55	2.5	2.425	2.334	2.223	2.126	2.042	1.967	1.9	1.853	1.85	1.85
"Paraguay"	600	6.5	6.5	6.45	6.15	5.3505	5.2	5.2	4.77	4.3095	3.88	3.48	3.083	2.7615	2.514	2.329	2.1975	2.1045	2.0395	1.994	1.9645
"Peru"	604	6.853	6.853	6.853	6.56	6	5.378	4.65	4.1	3.57	3.1	2.8	2.5995	2.3825	2.218	2.0975	2.01	1.947	1.9035	1.8715	1.85
"Suriname"	740	6.56	6.56	6.56	5.945	5.289	4.203	3.7	3	2.6	2.8	2.5975	2.415	2.291	2.185	2.094	2.014	1.942	1.878	1.85	1.85
"Uruguay"	858	2.7305	2.831	2.9005	2.8	3	2.887	2.57	2.529	2.4865	2.3005	2.2005	2.115	2.031	1.958	1.892	1.8515	1.85	1.85	1.85	1.85
"Venezuela (Bolivarian Republic of)"	862	6.4585	6.4585	6.657	5.9045	4.941	4.4685	3.957	3.6485	3.25	2.9415	2.723	2.547	2.3935	2.261	2.1475	2.052	1.9725	1.905	1.85	1.85
"Northern America"	905	3.3305	3.6292	3.3538	2.5664	2.0689	1.8247	1.8119	1.8956	1.9929	1.9528	1.9889	2.0415	1.983	1.922	1.8679	1.8422	1.8469	1.8499	1.85	1.85
"Canada"	124	3.645	3.882	3.675	2.61	1.976	1.734	1.634	1.616	1.694	1.562	1.516	1.566	1.615	1.665	1.715	1.765	1.815	1.849	1.85	1.85
"United States of America"	840	3.446	3.706	3.314	2.545	2.016	1.788	1.825	1.924	2.025	1.994	2.038	2.091	2.021	1.948	1.883	1.85	1.85	1.85	1.85	1.85
"Oceania"	909	3.8315	4.0417	4.0305	3.5856	3.2943	2.7409	2.5548	2.4929	2.4907	2.4583	2.418	2.4365	2.3934	2.313	2.247	2.183	2.12	2.0649	2.0193	1.9821
"Australia/New Zealand"	927	3.2509	3.4942	3.4846	2.9796	2.6819	2.0582	1.9225	1.8899	1.8956	1.806	1.7862	1.8617	1.8804	1.8664	1.8554	1.85	1.85	1.85	1.85	1.85
"Australia"	36	3.18	3.406	3.274	2.871	2.535	1.989	1.91	1.859	1.86	1.776	1.753	1.83	1.852	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"New Zealand"	554	3.688	4.07	4.022	3.348	2.843	2.178	1.9727	2.0311	2.067	1.9525	1.949	2.017	2.018	1.946	1.882	1.85	1.85	1.85	1.85	1.85
"Melanesia"	928	6.2867	6.3198	6.3057	6.0547	5.7875	5.5847	5.1358	4.7232	4.4934	4.3986	4.1288	3.8856	3.5846	3.2312	2.9482	2.7277	2.5523	2.4068	2.2846	2.1807
"Fiji"	242	6.625	6.792	5.953	5	4.2	4.001	3.801	3.47	3.35	3.194	2.976	2.753	2.569	2.421	2.296	2.19	2.098	2.017	1.945	1.879
"New Caledonia"	540	5	5	5.3	5	5.15	3.9	3.33	3.07	2.89	2.622	2.281	2.097	2.006	1.936	1.873	1.85	1.85	1.85	1.85	1.85
"Papua New Guinea"	598	6.238	6.259	6.278	6.214	6.087	5.871	5.474	4.966	4.703	4.637	4.35	4.1	3.771	3.367	3.048	2.8	2.606	2.449	2.319	2.209
"Solomon Islands"	90	6.4	6.4	6.4	6.539	7.236	7.041	6.431	6.125	5.532	4.905	4.355	3.92	3.49	3.143	2.874	2.664	2.497	2.359	2.243	2.144
"Vanuatu"	548	7.6	7.35	7	6.46	6.11	5.75	5.4	5.04	4.83	4.59	4.3	4	3.599	3.229	2.941	2.717	2.539	2.394	2.273	2.17
"Micronesia"	954	6.1994	6.3922	6.3392	5.983	5.2821	4.7866	4.3665	3.9295	3.7187	3.318	2.8255	2.5311	2.3601	2.2321	2.1099	2.0024	1.9234	1.8529	1.7913	1.762
"Guam"	316	5.527	5.828	6.03	4.724	4.12	3.516	3.08	3.139	3.1	3	2.74	2.539	2.394	2.274	2.171	2.081	2.002	1.931	1.869	1.85
"Micronesia (Fed. States of)"	583	7.2	7	6.9	6.9	6.9	6.4	6	5.2	4.7932	4.5275	4.05	3.622	3.201	2.862	2.587	2.359	2.167	2.001	1.871	1.85
"Polynesia"	957	6.7407	6.9034	6.9864	6.4616	5.4694	4.8363	4.5922	4.4128	3.8502	3.5155	3.3232	3.0252	2.7321	2.511	2.3776	2.287	2.1917	2.0876	1.9867	1.9287
"French Polynesia"	258	6	6.4	6.501	6.199	5.15	4.229	3.815	3.569	3.05	2.6	2.35	2.206	2.133	2.048	1.973	1.906	1.855	1.85	1.85	1.85
"Samoa"	882	5	7.3	7.3	6.5	5.7	4.89	4.85	4.82	4.7	4.498	4.471	3.986	3.545	3.186	2.908	2.691	2.518	2.377	2.258	2.157
"Tonga"	776	7.3	7.3	7.3	6.5	5.5	5.5	5.5	4.736	4.524	4.178	4.189	4.048	3.605	3.234	2.945	2.72	2.541	2.396	2.275	2.171
